# SCM result file
# Name expected_value st_dev variance skewness kurtosis
 1ID   1201.0000000000000        565.85206465033264        320188.55906904419        2.2978582123829500E-014   2.1926393672912390     
 2Tinner_in[K]   291.64999999999685        3.3690494027434722E-005   1.1350493878126144E-009  -10773068.501293996        187595982483867.25     
 3Tinner_out[K]   294.45356824689651        4.2203617659591700E-002   1.7811453435570002E-003   4.3126966674439986E-002  -40.982982984625131     
 4Tinner_avg[K]   293.05178495683401        2.1101996746351978E-002   4.4529426668304950E-004   6.4456621382205551E-002  -523.81776889598382     
 5Velocity_inner[m_over_s]   3.8648688642880606        1.0823688666823923E-003   1.1715223635633265E-006   7.9799554474068715E-004   1.2686700485254996     
 6Reynolds_inner   20057.209456457567        465.09311076024647        216311.60167664289        5.5568529625995719E-002   1.8043414627059831     
 7Prandtl_inner   9.8575243251007514       0.40255818440773944       0.16205309183365557        9.9722027115534434E-002   2.5496470375972362     
 8Nusselt_inner   158.80709664856056        2.5655906950375122        6.5822556144630653        5.3476588455429228E-002   2.5359792800058498     
 9alpha_inner[W_(m^K)]   12940.597953017383        268.33407634393205        72003.176527351141        2.3656943635181619E-002   2.3554872910820777     
 10Tannulus_in[K]   314.04999999999751        4.1262259774749636E-005   1.7025740817189217E-009  -14189732.470947113        184463285971151.41     
 11Tannulus_out[K]  -9.2559631349317705E+061   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
 12Tannulus_avg[K]   312.82038802253408        9.0025909871453286E-003   8.1046644481830299E-005 -0.45846702730803185        26929.179767333775     
 13Velocity_annulus[m_s]   2.2645764328066651        7.3001091334600759E-006   5.3291593360427214E-011  -174.76989558041328        94512377.181339756     
 14Reynolds_annulus   17225.922767392913        2.6950788424288259        7.2634499669075012        2.5407771803066193E-002   7.5044599749609198     
 15Prandtl_annulus   4.3276476447966177        7.9014474640906444E-004   6.2432872027784470E-007  -2.5927800556654199E-002   6.3367449629989379     
 16Nusselt_annulus   101.19861840568167        5.2756125382009836E-003   2.7832087653223425E-005  -7.9885781184531643E-002   4187.9561303902210     
 17alpha_annulus   12749.481538575528       0.91676914480341587       0.84046566486358643        2.6564625568544342E-002  -27.351765728407130     
 18LMTD[K]   19.768093368953959        2.2956853042253700E-002   5.2701710160363291E-004  -1.7675550648331446E-002   2.5172027497012288     
 19htc[W_m^2K]   3926.0450928171917        30.795623089218811        948.37040145322680       -2.8851410626358886E-002   2.3544902409799713     
 20Massflow_inner[kg_s]  0.19413859514648935        2.5128456881702024E-008   6.3143934525555778E-016  -10604778.509079404        115138043833120.06     
 21Massflow_annulus[kg_s]  0.22064092423547363        1.4630695272345867E-006   2.1405724415224370E-012  -19.152330944336040        1431542.6058339614     
 22dotQ[W]   2267.5187880139429        16.615815738655019        276.08533266093582       -2.6051699401645017E-002   2.4486947715159215     
 23friction_factor_inner   2.5374163381655025E-002   1.1763757148006707E-004   1.3838598223727891E-008  -2.2148554782342560E-002   1.8012299279014121     
 24dp_inner[Pa]   27933.833781458881        129.71218120022590        16825.249951720238       -2.1929811711656279E-002   1.8098755469636858     
 25viscosity_inner[Pas]   1.5413273556197944E-003   3.5717845931692124E-005   1.2757645180000957E-009   1.2255991809764078E-004   1.8005183238998494     
 26density_inner[kg_m^3]   999.32625694354772       0.27986448180352275        7.8324128175154328E-002   2.0348567803296573E-004  0.83350483711792811     
 27heat_cap_inner[J_(kgK)]   4167.0308734630153        70.004991624040770        4900.6988522820175        1.2036064592838620E-006   1.8000000115966708     
 28therm_cond_inner[W_(mK)]  0.65210538873769097        1.8772388624744733E-002   3.5240257467844538E-004  -8.9291112601419894E-006   1.8000018850381874     
 29viscosity_inner_bf[Pas]   1.0038345056843482E-003   5.4393229689777662E-007   2.9586234360849098E-013  -3.8219405152585283E-002   1.8469048658185561     
 30density_inner_bf[kg_m^3]   998.15913620428523        4.1804348197305745E-003   1.7476035282015800E-005  -6.8832245064955124       -12158737.835464267     
 31heat_cap_inner_bf[J_(kgK)]   4184.0994817286019        1.6840726697865623E-002   2.8361007571220398E-004  -4.5619875336871702        5500024.1442796448     
 32therm_cond_inner_bf[W_(mK)]  0.59885402165691237        3.7131644130882266E-005   1.3787589958624835E-009   1.9039602291350054E-002   825.62052159848702     
 33Reynolds_inner_bf   30744.153772851136        18.764193913049397        352.09497320652008        2.8913745827414579E-002   2.4718937226470357     
 34Prandtl_inner_bf   7.0136351273448758        4.2634651146720298E-003   1.8177134784025384E-005  -3.8232886362540533E-002   2.3133200513731644     
 35Nusselt_inner_bf   195.12596343863714        5.7402528824962953E-002   3.2950503155007027E-003   1.1703763965341434E-002   1.0735863201628906     
 36alpha_inner_bf   14606.496160490617        4.9324704792059624        24.329265028238297        1.7354364597652876E-002   2.2460821943460756     
 37friction_factor_inner_bf   2.3295140475104125E-002   2.8435326741453649E-006   8.0856780689322894E-012  -2.1903997275891044E-002  -57.379387756062648     
 38dp_inner_bf[Pa]   25615.137436041583        13.179527209380717        173.69993746280670        6.8606091907109023E-004   1.7608291351222174     
 39Mouromtseff_number  0.88594764367884904        1.8345043335726046E-002   3.3654061498966659E-004   2.4222589125617675E-002   2.3642168629824845     
 40viscosity_thermal_enhancement_ratio   6.9976042721560985        3.0028654186129482        9.0172007223015171        1.0626211104299399        3.2887309886703586     
 41PEC  -3.8294867420872543E+057   6.6531298704688093E+055   4.4264137073324321E+111  -7.5140343672138264E-003   1.9594916349151019     
 42Energetic_efficiency_Elcioglu  0.74636221693079896        1.4387984978884726E-002   2.0701411175261253E-004   6.0411863854841173E-002   2.5121798496491117     
 43Energetic_efficiency_Lugo  0.83738230022395455        1.2917611359600406E-002   1.6686468323767745E-004   5.1073026229624743E-002   2.5100984205898982     
 44Euler_number(Eu)   1.8713445493970573        8.6757708969173262E-003   7.5269000655797669E-005  -2.2148595000572108E-002   1.8012486606189368     
 45Energy_ratio(ER)   84.867976417014873        1.6260668456142831        2.6440933864059843        6.0311624648174827E-002   2.5031360468604564     
