    ID       Tinner_in[K]       Tinner_out[K]       Tinner_avg[K]       Velocity_inner[m_over_s]     Reynolds_inner  Prandtl_inner   Nusselt_inner   alpha_inner[W_(m^K)] Tannulus_in[K]  Tannulus_out[K]  Tannulus_avg[K]  Velocity_annulus[m_s]  Reynolds_annulus    Prandtl_annulus Nusselt_annulus alpha_annulus   LMTD[K] htc[W_m^2K] Massflow_inner[kg_s] Massflow_annulus[kg_s] dotQ[W]    friction_factor_inner dp_inner[Pa]  viscosity_inner[Pas] density_inner[kg_m^3]   heat_cap_inner[J_(kgK)]   therm_cond_inner[W_(mK)]   viscosity_inner_bf[Pas] density_inner_bf[kg_m^3]   heat_cap_inner_bf[J_(kgK)]   therm_cond_inner_bf[W_(mK)]   Reynolds_inner_bf    Prandtl_inner_bf Nusselt_inner_bf alpha_inner_bf   friction_factor_inner_bf dp_inner_bf[Pa]  Mouromtseff_number  viscosity_thermal_enhancement_ratio  PEC  Energetic_efficiency_Elcioglu  Energetic_efficiency_Lugo  Euler_number(Eu)  Energy_ratio(ER) # 
    1   0.2916500000000000E+03   0.2945040176172951E+03   0.2930815933708820E+03   0.3866673736888861E+01   0.2084799420619451E+05   0.9667013519260783E+01   0.1625908825891397E+03   0.1262541796875000E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128366780217592E+03   0.2264563219746493E+01   0.1723079939121025E+05   0.4326218191759057E+01   0.1012081635789419E+03   0.1275114029241608E+05   0.1975478815540311E+02   0.3889801834927905E+04   0.1941385951464914E+00   0.2206382763382046E+00   0.2245084414033925E+04   0.2517705725194861E-01   0.2772978791494129E+05   0.1482066656239748E-02   0.9988597165473896E+03   0.4051950607000289E+04   0.6212115950185146E+00   0.1003066371851546E-02   0.9981532290053707E+03   0.4184075708036908E+04   0.5989064693365436E+00   0.3078187433488869E+05   0.7007614468853572E+01   0.1952504147037958E+03   0.1461709179687500E+05   0.2328942739189804E-01   0.2563262646544545E+05   0.8637434959154596E+00   0.1282213750942293E+02  -0.3751051730472880E+58   0.7697519261958315E+00   0.8546460225081134E+00   0.1856807972331210E+01   0.8756472667715225E+02
    2   0.2916500000000000E+03   0.2945006251845272E+03   0.2930753133646830E+03   0.3866668404966087E+01   0.2066741391280694E+05   0.9751411126220873E+01   0.1620256351760782E+03   0.1258162402343750E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128339870994265E+03   0.2264565403812778E+01   0.1722999385099192E+05   0.4326454237489772E+01   0.1012065870904909E+03   0.1275086632013355E+05   0.1975793458473539E+02   0.3884563034531149E+04   0.1941385951464914E+00   0.2206387139222362E+00   0.2242417828093335E+04   0.2522090089256932E-01   0.2777803860810098E+05   0.1495016125037964E-02   0.9988610939199266E+03   0.4051954288435868E+04   0.6212164496725520E+00   0.1003228075879048E-02   0.9981544747236395E+03   0.4184080708033289E+04   0.5988954220099696E+00   0.3077690876868748E+05   0.7008881824401398E+01   0.1952393390442284E+03   0.1461599316406250E+05   0.2329017884963401E-01   0.2563341482590891E+05   0.8608121173984219E+00   0.1315270564632248E+02  -0.3744539523326538E+58   0.7658104574120107E+00   0.8522081068820377E+00   0.1860041440826987E+01   0.8710861576505546E+02
    3   0.2916500000000000E+03   0.2944952823166188E+03   0.2930726424515871E+03   0.3866666137651338E+01   0.2038435775516719E+05   0.9886789658735042E+01   0.1611341454168780E+03   0.1251243945312500E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128362642629560E+03   0.2264563555597372E+01   0.1723067553099224E+05   0.4326254484802659E+01   0.1012079211815564E+03   0.1275109816683241E+05   0.1976288571724599E+02   0.3876312413448110E+04   0.1941385951464914E+00   0.2206383436249677E+00   0.2238215775804978E+04   0.2529055828612070E-01   0.2785474220543817E+05   0.1515775843104404E-02   0.9988616796266853E+03   0.4051955854630871E+04   0.6212185161993981E+00   0.1003296861709413E-02   0.9981550044145571E+03   0.4184082835405512E+04   0.5988907233081149E+00   0.3077479699574569E+05   0.7009420941948478E+01   0.1952346284077681E+03   0.1461552636718750E+05   0.2329049847623997E-01   0.2563375015140999E+05   0.8561059751646015E+00   0.1370087787775658E+02  -0.3734229629069437E+58   0.7595279033448408E+00   0.8483152498113915E+00   0.1865178673601402E+01   0.8639072904782377E+02
    4   0.2916500000000000E+03   0.2944889069763180E+03   0.2930694550964275E+03   0.3866663432225916E+01   0.2005230921073525E+05   0.1005047088601918E+02   0.1600788347391976E+03   0.1243054101562500E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128389811591854E+03   0.2264561350096299E+01   0.1723148884101124E+05   0.4326016181473944E+01   0.1012095128208360E+03   0.1275137477490418E+05   0.1976879362485167E+02   0.3866472817188494E+04   0.1941385951464914E+00   0.2206379017719986E+00   0.2233201701926313E+04   0.2537376681779109E-01   0.2794636761179571E+05   0.1540875753398948E-02   0.9988623785097994E+03   0.4051957724025136E+04   0.6212209837285431E+00   0.1003378957527779E-02   0.9981556364329728E+03   0.4184085374787959E+04   0.5988851158977411E+00   0.3077227697559094E+05   0.7010064384834049E+01   0.1952290068454456E+03   0.1461496875000000E+05   0.2329087992739566E-01   0.2563415034009709E+05   0.8505349021444196E+00   0.1436321228701022E+02  -0.3721988241439475E+58   0.7521130579263933E+00   0.8437023367872627E+00   0.1871315302812093E+01   0.8554348617715110E+02
    5   0.2916500000000000E+03   0.2944826213851109E+03   0.2930663123229805E+03   0.3866660764953040E+01   0.1973088646862099E+05   0.1021416103811915E+02   0.1590472610157684E+03   0.1235048535156250E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128416595650617E+03   0.2264559175430412E+01   0.1723229062235466E+05   0.4325781278355703E+01   0.1012110818346268E+03   0.1275164745416003E+05   0.1977461836665935E+02   0.3856777486150036E+04   0.1941385951464914E+00   0.2206374661262948E+00   0.2228258209637431E+04   0.2545590276882776E-01   0.2803681183971234E+05   0.1565977134966498E-02   0.9988630675380568E+03   0.4051959567658979E+04   0.6212234182604123E+00   0.1003459915409954E-02   0.9981562595128540E+03   0.4184087879361599E+04   0.5988795867293655E+00   0.3076979228910294E+05   0.7010698915989839E+01   0.1952234638193284E+03   0.1461441796875000E+05   0.2329125606685710E-01   0.2563454495834325E+05   0.8450891015962138E+00   0.1502510980809283E+02  -0.3709983130886599E+58   0.7448883224558633E+00   0.8391882185173887E+00   0.1877372829201047E+01   0.8471799449843644E+02
    6   0.2916500000000000E+03   0.2944774882926419E+03   0.2930637455189039E+03   0.3866658586735114E+01   0.1947269952897716E+05   0.1034956047089724E+02   0.1582113107651182E+03   0.1228561035156250E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128438466287708E+03   0.2264557399395684E+01   0.1723294531552507E+05   0.4325589485008114E+01   0.1012123629630029E+03   0.1275187010412311E+05   0.1977937511132996E+02   0.3848864078907700E+04   0.1941385951464914E+00   0.2206371103593004E+00   0.2224221131558350E+04   0.2552305113009916E-01   0.2811075236638353E+05   0.1586740298462528E-02   0.9988636302309842E+03   0.4051961073699002E+04   0.6212254077377559E+00   0.1003526043933944E-02   0.9981567683296850E+03   0.4184089925450317E+04   0.5988750707405088E+00   0.3076776302916795E+05   0.7011217222916225E+01   0.1952189365833545E+03   0.1461396972656250E+05   0.2329156328949057E-01   0.2563486727565162E+05   0.8406757767694051E+00   0.1557225983304610E+02  -0.3700226030039098E+58   0.7390506269941158E+00   0.8355265149998009E+00   0.1882325020844813E+01   0.8405100554531799E+02
    7   0.2916500000000000E+03   0.2944743434625659E+03   0.2930621725775741E+03   0.3866657252021944E+01   0.1931639343148508E+05   0.1043328985093447E+02   0.1577019919891132E+03   0.1224608496093750E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128451862932583E+03   0.2264556311368876E+01   0.1723334633929975E+05   0.4325472011766408E+01   0.1012131476805843E+03   0.1275200648287746E+05   0.1978228937001112E+02   0.3844017744337486E+04   0.1941385951464914E+00   0.2206368924205508E+00   0.2221747782152504E+04   0.2556422401398414E-01   0.2815608991936407E+05   0.1599580023676544E-02   0.9988639750240071E+03   0.4051961996729189E+04   0.6212266273886771E+00   0.1003566570977665E-02   0.9981570801011627E+03   0.4184091179528841E+04   0.5988723032739520E+00   0.3076651952382423E+05   0.7011534871027138E+01   0.1952161622560280E+03   0.1461369433593750E+05   0.2329175156372910E-01   0.2563506480102145E+05   0.8379869374181684E+00   0.1591045357576512E+02  -0.3694268686549676E+58   0.7355013673386529E+00   0.8332939527251311E+00   0.1885361521031330E+01   0.8364549198121274E+02
    8   0.2916500000000000E+03   0.2945102440715059E+03   0.2930801220357525E+03   0.3866672487568239E+01   0.2084748762487742E+05   0.9563297350904049E+01   0.1618877099350873E+03   0.1270745996093750E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128298873907816E+03   0.2264568730519175E+01   0.1722876657144749E+05   0.4326813907489564E+01   0.1012041851106522E+03   0.1275044889488079E+05   0.1974902095311824E+02   0.3899427229317920E+04   0.1941385951464914E+00   0.2206393804947800E+00   0.2249982870831094E+04   0.2517717960820647E-01   0.2772991371751414E+05   0.1482102669561462E-02   0.9988600392786389E+03   0.4051951469381824E+04   0.6279641706567430E+00   0.1003104253617271E-02   0.9981535208982240E+03   0.4184076879227752E+04   0.5989038811389074E+00   0.3078071092777255E+05   0.7007911364731302E+01   0.1952478198338802E+03   0.1461683496093750E+05   0.2328960344160651E-01   0.2563281115986307E+05   0.8693715154407452E+00   0.9841135147105577E+01  -0.3751035511376769E+58   0.7664351361793154E+00   0.8509603950205645E+00   0.1856816996105227E+01   0.8718560325258520E+02
    9   0.2916500000000000E+03   0.2945069150157553E+03   0.2930784582668916E+03   0.3866671074932535E+01   0.2066848714481106E+05   0.9646103126031107E+01   0.1613301536889982E+03   0.1266372070312500E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128313068398322E+03   0.2264567578816016E+01   0.1722919149623656E+05   0.4326689371971941E+01   0.1012050167724095E+03   0.1275059342339416E+05   0.1975210592186767E+02   0.3894281278748488E+04   0.1941385951464914E+00   0.2206391497200607E+00   0.2247364642786019E+04   0.2522063896299461E-01   0.2777776930235032E+05   0.1494938494820483E-02   0.9988604041985732E+03   0.4051952444654399E+04   0.6279654705690619E+00   0.1003147092594081E-02   0.9981538509414969E+03   0.4184078203782949E+04   0.5989009543851587E+00   0.3077939538288429E+05   0.7008247114283011E+01   0.1952448855603501E+03   0.1461654394531250E+05   0.2328980252280729E-01   0.2563302001727674E+05   0.8663963759494756E+00   0.1010201991412325E+02  -0.3744574122761119E+58   0.7624972665317405E+00   0.8485276020565060E+00   0.1860022123520852E+01   0.8673561010318248E+02
   10   0.2916500000000000E+03   0.2945015833735479E+03   0.2930757929747434E+03   0.3866668812126537E+01   0.2038541803361025E+05   0.9780018913378949E+01   0.1604424965923656E+03   0.1259408496093750E+05   0.3140500000000000E+03  -0.9255963134931783E+62   0.3128335792304573E+03   0.2264565734820585E+01   0.1722987175293376E+05   0.4326490017570371E+01   0.1012063481319836E+03   0.1275082479267276E+05   0.1975704664935375E+02   0.3886043135930598E+04   0.1941385951464914E+00   0.2206387802432121E+00   0.2243171422910051E+04   0.2529029520010878E-01   0.2785447171162419E+05   0.1515697005160129E-02   0.9988609887397954E+03   0.4051954007227021E+04   0.6279675538662847E+00   0.1003215724942552E-02   0.9981543796007146E+03   0.4184080326079595E+04   0.5988962657312835E+00   0.3077728798168993E+05   0.7008785022929474E+01   0.1952401849159064E+03   0.1461607714843750E+05   0.2329012145677872E-01   0.2563335461429063E+05   0.8616597212121204E+00   0.1052376168865030E+02  -0.3734264189484747E+58   0.7562418730799957E+00   0.8446515487660637E+00   0.1865159271008022E+01   0.8602080213002654E+02
